Series,Maintenance,Work in hours,,,
5300,FB,0.5,,,
5300,L1,4.1,,,
5300,L2,16.1,,,
5300,B1,45.1,,,
5300,B2,43.6,,,
5300,B4,47.6,,,
5300,C,61.4,,,
5400,FB,0.5,,,
5400,L1,4.5,,,
5400,L2,17.8,,,
5400,B1,47.6,,,
5400,B2,51.6,,,
5400,B4,53,,,
5400,C,61.1,,,
5500,FB,0.6,,,
5500,F1,3.3,,,
5500,F2,17.6,,,
5500,F3,30.9,,,
5500,F4,69.75,,,
5500,F5,39.9,,,
5500,F6,81.2,,,
5500,F7,81.2,,,
5500,F8,81.2,,,
5500,F9,81.2,,,
5500,F10,81.2,,,
5600,FB,1,,,
5600,F1,3.3,,,
5600,F2,17.6,,,
5600,F3,30.9,,,
5600,F4,71.1,,,
5600,F5,39.9,,,
5600,F6,82.5,,,
5600,F7,71.1,,,
5600,F8,82.5,,,
5600,F9,82.5,,,
5600,F10,82.5,,,
5700,FB,1,,,
5700,F1,3.3,,,
5700,F2,17.6,,,
5700,F3,30.9,,,
5700,F4,71.1,,,
5700,F5,39.9,,,
5700,F6,82.5,,,
5700,F7,82.5,,,
5700,F8,82.5,,,
5700,F9,82.5,,,
5700,F10,82.5,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
